"zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv","target"
"0",19.58,0,0.605,7.929,"1",2.0459,5,403,14.7,1.24,3.7,50,1
"0",19.58,1,0.871,5.403,"1",1.3216,5,403,14.7,1.26,26.82,13.4,1
"0",18.1,0,0.74,6.485,"1",1.9784,24,666,20.2,1.25,18.85,15.4,1
"1",4.93,0,0.428,6.393,"0",7.0355,6,300,16.6,1.24,5.19,23.7,0
"0",2.46,0,0.488,7.155,"1",2.7006,3,193,17.8,1.26,4.82,37.9,0
"0",8.56,0,0.52,6.781,"0",2.8561,5,384,20.9,1.26,7.67,26.5,0
"0",18.1,0,0.693,5.453,"1",1.4896,24,666,20.2,1.26,30.59,5,1
"0",18.1,0,0.693,4.519,"1",1.6582,24,666,20.2,0.93,36.98,7,1
"0",5.19,0,0.515,6.316,"0",6.4584,5,224,20.2,1.25,5.68,22.2,0
"1",3.64,0,0.392,5.876,"0",9.2203,1,315,16.4,1.26,9.25,20.9,0
"1",5.86,0,0.431,6.438,"0",7.3967,7,330,19.1,1.24,3.59,24.8,0
"0",12.83,0,0.437,6.286,"0",4.5026,5,398,18.7,1.25,8.94,21.4,0
"0",18.1,0,0.532,7.061,"0",3.4106,24,666,20.2,1.26,7.01,25,1
"1",5.86,0,0.431,8.259,"0",8.9067,7,330,19.1,1.26,3.54,42.8,1
"0",2.46,0,0.488,6.153,"0",3.2797,3,193,17.8,1.25,13.15,29.6,0
"0",2.18,0,0.458,6.43,"0",6.0622,3,222,18.7,1.26,5.21,28.7,0
"1",1.32,0,0.411,6.816,"0",8.3248,5,256,15.1,1.26,3.95,31.6,0
"1",3.97,0,0.647,5.56,"0",1.9865,5,264,13,1.26,10.45,22.8,1
"0",18.1,0,0.679,5.896,"1",1.9096,24,666,20.2,0.72,24.39,8.3,1
"0",18.1,0,0.671,6.545,"1",1.5192,24,666,20.2,1.26,21.08,10.9,1
"0",3.24,0,0.46,6.144,"0",5.8736,4,430,16.9,1.24,9.09,19.8,0
"0",6.2,1,0.507,6.726,"0",3.6519,8,307,17.4,1.23,8.05,29,1
"0",2.89,0,0.445,7.416,"0",3.4952,2,276,18,1.26,6.19,33.2,0
"1",2.31,0,0.538,6.575,"0",4.09,1,296,15.3,1.26,4.98,24,0
"0",9.9,0,0.544,6.382,"0",3.5325,4,304,18.4,1.26,10.36,23.1,1
"1",2.93,0,0.401,6.604,"0",6.2196,1,265,15.6,1.24,4.38,29.1,0
"0",5.19,0,0.515,5.985,"0",4.8122,5,224,20.2,1.26,9.74,19,0
"0",18.1,0,0.7,5.39,"1",1.7281,24,666,20.2,1.26,20.85,11.5,1
"1",4.86,0,0.426,6.167,"0",5.4007,4,281,19,1.26,7.51,22.9,0
"1",5.13,0,0.453,6.456,"0",7.2255,8,284,19.7,1.26,6.73,22.2,0
"0",6.2,0,0.504,5.981,"0",3.6715,8,307,17.4,1.25,11.65,24.3,1
"0",8.56,0,0.52,6.474,"1",2.4329,5,384,20.9,1.26,12.27,19.8,0
"0",2.89,0,0.445,7.82,"0",3.4952,2,276,18,1.26,3.57,43.8,0
"0",18.1,0,0.679,6.38,"1",1.9682,24,666,20.2,0.88,24.08,9.5,1
"0",5.19,0,0.515,6.059,"0",4.8122,5,224,20.2,1.26,8.51,20.6,0
"1",4.95,0,0.411,6.63,"0",5.1167,4,245,19.2,1.26,4.7,27.9,0
"0",2.46,0,0.488,7.831,"0",3.1992,3,193,17.8,1.26,4.45,50,0
"0",18.1,0,0.614,6.185,"1",2.1705,24,666,20.2,1.25,18.03,14.6,1
"0",4.39,0,0.442,5.898,"0",8.0136,3,352,18.8,1.23,12.67,17.2,0
"0",19.58,0,0.605,6.402,"1",2.2625,5,403,14.7,1.2,11.32,22.3,1
"0",3.24,0,0.46,5.868,"0",5.2146,4,430,16.9,1.25,9.97,19.3,0
"0",18.1,0,0.671,6.649,"1",1.3449,24,666,20.2,1.23,23.24,13.9,1
"0",4.05,0,0.51,5.859,"0",2.7019,5,296,16.6,1.26,9.64,22.6,0
"1",1.91,0,0.413,5.663,"0",10.5857,4,334,22,1.25,8.05,18.2,0
"1",7.87,0,0.524,6.009,"1",6.2267,5,311,15.2,1.26,13.27,18.9,0
"0",6.91,0,0.448,6.03,"1",5.6894,3,233,17.9,1.26,18.8,16.6,0
"0",18.1,0,0.583,6.312,"0",3.9917,24,666,20.2,1.25,10.58,21.2,1
"0",9.9,0,0.544,5.782,"0",4.0317,4,304,18.4,1.26,15.94,19.8,0
"0",18.1,0,0.532,6.229,"1",3.0993,24,666,20.2,1.26,12.87,19.6,1
"0",8.14,0,0.538,6.674,"1",4.239,4,307,21,1.25,11.98,21,1
"1",2.25,0,0.389,6.453,"0",7.3073,1,300,15.3,1.26,8.23,22,0
"1",7.87,0,0.524,6.004,"1",6.5921,5,311,15.2,1.25,17.1,18.9,0
"0",5.96,0,0.499,5.933,"0",3.3603,5,279,19.2,1.26,9.68,18.9,0
"0",1.89,0,0.518,6.54,"0",6.2669,1,422,15.9,1.25,8.65,16.5,0
"0",21.89,0,0.624,5.693,"1",1.7883,4,437,21.2,1.26,17.19,16.2,1
"0",10.59,1,0.489,5.344,"1",3.875,4,277,18.6,1.26,23.09,20,1
"1",3.33,0,0.4429,7.82,"0",4.6947,5,216,14.9,1.25,3.76,45.4,0
"1",3.33,1,0.4429,7.645,"0",5.2119,5,216,14.9,1.24,3.01,46,0
"0",7.07,0,0.469,6.421,"0",4.9671,2,242,17.8,1.26,9.14,21.6,0
"0",18.1,0,0.7,5,"1",1.5184,24,666,20.2,1.26,31.99,7.4,1
"0",19.58,0,0.605,5.877,"0",2.4259,5,403,14.7,1.11,12.14,23.8,1
"0",9.9,0,0.544,4.973,"0",2.5194,4,304,18.4,1.22,12.64,16.1,1
"0",18.1,0,0.74,6.459,"1",1.9879,24,666,20.2,0.84,23.98,11.8,1
"1",3.44,0,0.437,6.782,"0",3.7886,5,398,15.2,1.26,6.68,32,0
"1",6.06,0,0.4379,5.706,"0",6.6407,1,304,16.9,1.26,12.43,17.1,0
"0",8.14,0,0.538,5.949,"0",4.7075,4,307,21,1.26,8.26,20.4,1
"0",27.74,0,0.609,5.414,"1",1.7554,4,711,20.1,1.22,23.97,7,0
"0",18.1,0,0.718,6.411,"1",1.8589,24,666,20.2,1.19,15.02,16.7,1
"0",9.69,0,0.585,5.39,"0",2.7986,6,391,19.2,1.26,21.14,19.7,1
"0",6.2,1,0.507,6.631,"0",4.148,8,307,17.4,1.25,9.54,25.1,1
"0",18.1,0,0.631,6.216,"1",1.1691,24,666,20.2,1.24,9.53,50,1
"0",8.56,0,0.52,6.167,"1",2.421,5,384,20.9,1.26,12.33,20.1,0
"0",19.58,0,0.605,5.875,"1",2.4259,5,403,14.7,1.17,14.43,17.4,1
"0",13.89,0,0.55,6.642,"1",3.4211,5,276,16.4,1.26,9.69,28.7,0
"0",18.1,0,0.614,5.304,"1",2.1007,24,666,20.2,1.22,24.91,12,1
"0",10.81,0,0.413,6.245,"0",5.2873,4,305,19.2,1.24,7.54,23.4,0
"0",19.58,0,0.871,5.597,"1",1.5257,5,403,14.7,1.22,21.45,15.4,1
"0",13.89,1,0.55,5.888,"0",3.1121,5,276,16.4,1.26,13.51,23.3,0
"0",2.18,0,0.458,6.998,"0",6.0622,3,222,18.7,1.26,2.94,33.4,0
"0",7.38,0,0.493,6.376,"0",4.5404,5,287,19.6,1.26,6.87,23.1,0
"0",10.01,0,0.547,5.913,"1",2.3534,6,432,17.8,1.26,16.21,18.8,0
"0",18.1,0,0.532,6.242,"0",3.4242,24,666,20.2,1.26,10.74,23,1
"0",18.1,0,0.693,6.471,"1",1.7257,24,666,20.2,1.26,17.12,13.1,1
"1",4.95,0,0.411,6.861,"0",5.1167,4,245,19.2,1.26,3.33,28.5,0
"1",3.97,0,0.575,8.297,"0",2.4216,5,264,13,1.25,7.44,50,1
"1",4.93,0,0.428,6.481,"0",6.1899,6,300,16.6,1.25,6.36,23.7,0
"0",19.58,0,0.605,6.943,"1",1.8773,5,403,14.7,1.23,4.59,41.3,1
"0",18.1,0,0.671,6.794,"1",1.358,24,666,20.2,1.26,21.24,13.3,1
"0",10.01,0,0.547,6.176,"0",2.7301,6,432,17.8,1.26,12.04,21.2,0
"1",5.64,0,0.439,5.963,"0",6.8147,4,243,16.8,1.26,13.45,19.7,0
"1",4.86,0,0.426,6.727,"0",5.4007,4,281,19,1.26,5.29,28,0
"1",2.24,0,0.4,7.041,"0",7.8278,5,358,14.8,1.24,4.74,29,0
"0",18.1,0,0.679,6.782,"1",1.8195,24,666,20.2,0.78,25.79,7.5,1
"0",7.38,0,0.493,6.083,"0",5.4159,5,287,19.6,1.26,12.79,22.2,0
"1",3.44,0,0.437,6.951,"0",6.4798,5,398,15.2,1.24,5.1,37,0
"0",18.1,0,0.614,6.229,"1",1.9512,24,666,20.2,1.25,13.11,21.4,1
"1",1.25,0,0.429,6.49,"0",8.7921,1,335,19.7,1.26,5.98,22.9,0
"0",18.1,0,0.597,4.628,"1",1.5539,24,666,20.2,0.8,34.37,17.9,1
"0",18.1,0,0.74,6.461,"1",2.0026,24,666,20.2,0.8,18.05,9.6,1
"0",5.19,0,0.515,6.037,"0",5.9853,5,224,20.2,1.26,8.01,21.1,0
"0",8.14,0,0.538,5.713,"1",4.233,4,307,21,1.23,22.6,12.7,1
"0",10.59,0,0.489,6.326,"0",4.3549,4,277,18.6,1.26,10.97,24.4,0
"0",19.58,0,0.871,5.709,"1",1.6232,5,403,14.7,1.14,15.79,19.4,1
"1",4,0,0.41,5.888,"0",7.3197,3,469,21.1,1.26,14.8,18.9,0
"0",18.1,0,0.597,5.155,"1",1.5894,24,666,20.2,1.09,20.08,16.3,1
"0",18.1,0,0.77,6.251,"1",2.2955,24,666,20.2,1.22,14.19,19.9,1
"0",11.93,0,0.573,6.794,"1",2.3889,1,273,21,1.26,6.48,22,0
"1",3.78,0,0.484,6.874,"0",6.4654,5,370,17.6,1.25,4.61,31.2,0
"0",21.89,0,0.624,6.454,"1",1.8498,4,437,21.2,1.26,14.59,17.1,1
"0",3.24,0,0.46,6.333,"0",5.2146,4,430,16.9,1.24,7.34,22.6,0
"0",6.2,0,0.504,8.725,"1",2.8944,8,307,17.4,1.25,4.63,50,1
"1",5.13,0,0.453,6.145,"0",7.8148,8,284,19.7,1.26,6.86,23.3,0
"0",5.19,0,0.515,5.869,"0",5.2311,5,224,20.2,1.26,9.8,19.5,0
"1",5.32,0,0.405,6.209,"0",7.3172,6,293,16.6,1.26,7.14,23.2,0
"0",6.91,0,0.448,5.682,"0",5.1004,3,233,17.9,1.26,10.21,19.3,0
"1",2.03,0,0.415,6.162,"0",6.27,2,348,14.7,1.26,7.43,24.1,0
"0",18.1,0,0.655,5.952,"1",2.8715,24,666,20.2,0.78,17.15,19,1
"0",9.9,0,0.544,5.972,"0",3.1025,4,304,18.4,1.26,9.97,20.3,1
"0",21.89,0,0.624,5.757,"1",2.346,4,437,21.2,1.14,17.31,15.6,1
"0",6.2,0,0.507,6.618,"1",3.2721,8,307,17.4,1.26,7.6,30.1,1
"0",8.14,0,0.538,5.99,"1",4.2579,4,307,21,1.25,14.67,17.5,1
"0",6.91,0,0.448,6.169,"0",5.7209,3,233,17.9,1.25,5.81,25.3,0
"0",6.2,0,0.504,7.412,"0",3.6715,8,307,17.4,1.24,5.25,31.7,1
"0",18.1,0,0.659,5.608,"1",1.2852,24,666,20.2,1.21,12.13,27.9,1
"1",3.97,0,0.647,8.398,"1",2.2885,5,264,13,1.25,5.91,48.8,1
"0",10.01,0,0.547,6.715,"1",2.6775,6,432,17.8,1.26,10.16,22.8,0
"0",18.1,0,0.668,4.138,"1",1.137,24,666,20.2,1.26,37.97,13.8,1
"0",5.19,0,0.515,5.968,"0",4.8122,5,224,20.2,1.26,9.29,18.7,0
"0",8.56,0,0.52,5.836,"1",2.211,5,384,20.9,1.26,18.66,19.5,0
"0",13.92,0,0.437,6.549,"0",5.9604,4,289,16,1.26,7.39,27.1,0
"0",18.1,0,0.671,6.968,"1",1.4165,24,666,20.2,1.26,17.21,10.4,1
"0",18.1,1,0.77,5.803,"1",1.9047,24,666,20.2,1.22,14.64,16.8,1
"1",4.86,0,0.426,6.302,"0",5.4007,4,281,19,1.26,6.72,24.8,0
"0",18.1,0,0.58,5.713,"0",2.8237,24,666,20.2,1.26,14.76,20.1,1
"1",1.21,1,0.401,7.923,"0",5.885,1,198,13.6,1.26,3.16,50,0
"0",2.89,0,0.445,6.625,"0",3.4952,2,276,18,1.23,6.65,28.4,0
"1",7.87,0,0.524,5.631,"1",6.0821,5,311,15.2,1.25,29.93,16.5,0
"0",8.14,0,0.538,5.935,"0",4.4986,4,307,21,1.25,6.58,23.1,1
"0",21.89,0,0.624,6.174,"1",1.6119,4,437,21.2,1.25,24.16,14,1
"1",4.93,0,0.428,6.606,"0",6.1899,6,300,16.6,1.25,7.37,23.3,0
"0",6.91,0,0.448,6.069,"0",5.7209,3,233,17.9,1.25,9.55,21.2,0
"0",5.96,0,0.499,5.841,"0",3.3779,5,279,19.2,1.24,11.41,20,0
"0",19.58,1,0.605,8.375,"1",2.162,5,403,14.7,1.25,3.32,50,1
"0",21.89,0,0.624,6.335,"1",2.1107,4,437,21.2,1.26,16.96,18.1,1
"0",9.69,0,0.585,5.569,"0",2.3999,6,391,19.2,1.26,15.1,17.5,0
"0",6.2,0,0.504,8.266,"0",2.8944,8,307,17.4,1.25,4.14,44.8,1
"0",21.89,0,0.624,5.019,"1",1.4394,4,437,21.2,1.26,34.41,14.4,1
"0",6.2,0,0.504,7.163,"0",3.2157,8,307,17.4,1.24,6.36,31.6,1
"0",18.1,0,0.7,5.277,"1",1.4261,24,666,20.2,1.26,30.81,7.2,1
"1",6.07,0,0.409,5.885,"0",6.498,4,345,18.9,1.26,8.79,20.9,0
"0",18.1,0,0.74,6.629,"1",2.1247,24,666,20.2,0.96,23.27,13.4,1
"1",6.09,0,0.433,6.495,"0",5.4917,7,329,16.1,1.25,8.67,26.4,0
"0",10.59,1,0.489,5.807,"0",3.6526,4,277,18.6,1.26,16.03,22.4,0
"0",27.74,0,0.609,5.093,"1",1.8226,4,711,20.1,1.19,29.68,8.1,0
"0",19.58,0,0.605,6.319,"1",2.1,5,403,14.7,1.18,11.1,23.8,1
"1",6.41,1,0.447,6.758,"0",4.0776,4,254,17.6,1.26,3.53,32.4,0
"0",18.1,0,0.718,6.824,"0",1.794,24,666,20.2,0.85,22.74,8.4,1
"1",2.03,0,0.415,7.61,"0",6.27,2,348,14.7,1.26,3.11,42.3,0
"0",8.56,0,0.52,6.405,"1",2.7147,5,384,20.9,0.9,10.63,18.6,0
"0",19.58,1,0.605,7.802,"1",2.0407,5,403,14.7,1.25,1.92,50,1
"0",18.1,0,0.584,6.162,"1",2.206,24,666,20.2,1.18,24.1,13.3,1
"0",6.2,0,0.504,8.04,"1",3.2157,8,307,17.4,1.25,3.13,37.6,1
"1",3.33,0,0.4429,6.968,"0",5.2447,5,216,14.9,1.26,4.59,35.4,0
"1",3.37,0,0.398,5.787,"0",6.6115,4,337,16.1,1.26,10.24,19.4,0
"0",4.05,0,0.51,5.572,"1",2.5961,5,296,16.6,1.26,14.69,23.1,0
"1",5.86,0,0.431,6.718,"0",7.8265,7,330,19.1,1.26,6.56,26.2,0
"1",5.32,0,0.405,6.315,"0",7.3172,6,293,16.6,1.26,7.6,22.3,0
"0",18.1,0,0.693,5.747,"1",1.6334,24,666,20.2,1.26,19.92,8.5,1
