"zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv","target"
"0",7.07,0,0.469,7.185,"0",4.9671,2,242,17.8,1.2568,4.03,34.7,0
"0",8.14,0,0.538,6.096,"1",4.4619,4,307,21,1.2465,10.26,18.2,0
"0",8.14,0,0.538,6.495,"1",4.4547,4,307,21,1.2528,12.8,18.4,0
"0",8.14,0,0.538,5.95,"1",3.99,4,307,21,1.1123,27.71,13.2,0
"0",5.96,0,0.499,5.85,"0",3.9342,5,279,19.2,1.26,8.77,21,0
"1",5.13,0,0.453,5.741,"0",7.2254,8,284,19.7,1.2586,13.15,18.7,0
"1",5.13,0,0.453,5.966,"1",6.8185,8,284,19.7,1.2449,14.44,16,0
"0",4.49,0,0.449,6.63,"0",4.4377,3,247,18.5,1.2563,6.53,26.6,0
"0",4.49,0,0.449,6.121,"0",3.7476,3,247,18.5,1.2586,8.44,22.2,0
"0",2.89,0,0.445,6.163,"0",3.4952,2,276,18,1.256,11.34,21.4,0
"0",25.65,0,0.581,5.856,"1",1.9444,2,188,19.1,1.2385,25.41,17.3,0
"0",25.65,0,0.581,5.613,"1",1.7572,2,188,19.1,1.2294,27.26,15.7,0
"0",21.89,0,0.624,5.637,"1",1.9799,4,437,21.2,1.26,18.34,14.3,0
"0",19.58,0,0.605,6.101,"1",2.2834,5,403,14.7,1.1201,9.81,25,0
"0",19.58,0,0.605,5.88,"1",2.3887,5,403,14.7,1.22,12.03,19.1,0
"0",10.59,1,0.489,5.96,"1",3.8771,4,277,18.6,1.2571,17.27,21.7,0
"0",6.2,0,0.504,6.552,"0",3.3751,8,307,17.4,1.2467,3.76,31.5,0
"0",6.2,0,0.507,8.247,"0",3.6519,8,307,17.4,1.2456,3.95,48.3,0
"1",5.86,0,0.431,6.957,"0",8.9067,7,330,19.1,1.2514,3.53,29.6,0
"1",2.97,0,0.4,7.088,"0",7.3073,1,285,15.3,1.2583,7.85,32.2,0
"1",1.76,0,0.385,6.23,"0",9.0892,1,241,18.2,1.2145,12.93,20.1,0
"1",2.18,0,0.472,6.616,"0",3.37,7,222,18.4,1.2572,8.93,28.4,0
"0",9.9,0,0.544,6.122,"0",2.6403,4,304,18.4,1.26,5.98,22.1,0
"0",7.38,0,0.493,6.415,"0",4.7211,5,287,19.6,1.26,6.12,25,0
"0",7.38,0,0.493,6.312,"0",5.4159,5,287,19.6,1.26,6.15,23,0
"0",5.19,0,0.515,5.895,"0",5.615,5,224,20.2,1.2583,10.56,18.5,0
"1",2.01,0,0.435,6.635,"0",8.344,4,280,17,1.2553,5.99,24.5,0
"0",18.1,0,0.718,3.561,"1",1.6132,24,666,20.2,1.2256,7.12,27.5,0
"0",18.1,1,0.631,7.016,"1",1.2024,24,666,20.2,1.2561,2.96,50,0
"0",18.1,0,0.584,6.348,"1",2.0527,24,666,20.2,0.9189,17.64,14.5,0
"0",18.1,0,0.74,5.935,"1",1.8206,24,666,20.2,0.8926,34.02,8.4,0
"0",18.1,0,0.74,5.627,"1",1.8172,24,666,20.2,1.26,22.88,12.8,0
"0",18.1,0,0.74,5.818,"1",1.8662,24,666,20.2,1.2557,22.11,10.5,0
"0",18.1,0,0.74,6.219,"1",2.0048,24,666,20.2,1.259,16.59,18.4,0
"0",18.1,0,0.74,5.854,"1",1.8956,24,666,20.2,1.1204,23.79,10.8,0
"0",18.1,0,0.713,6.525,"1",2.4358,24,666,20.2,0.8557,18.13,14.1,0
"0",18.1,0,0.713,6.376,"1",2.5671,24,666,20.2,1.2556,14.65,17.7,0
"0",18.1,0,0.655,6.209,"0",2.9634,24,666,20.2,1.26,13.22,21.4,0
"0",9.69,0,0.585,5.794,"0",2.8927,6,391,19.2,1.26,14.1,18.3,0
"0",11.93,0,0.573,6.976,"1",2.1675,1,273,21,1.26,5.64,23.9,0
